pops,city,state
8336697.0,New York,NY
3857799.0,Los Angeles,CA
2714856.0,Chicago,IL
2160821.0,Houston,TX
1547607.0,Philadelphia,PA
1488750.0,Phoenix,AZ
1382951.0,San Antonio,TX
1338348.0,San Diego,CA
1241162.0,Dallas,TX
982765.0,San Jose,CA
842592.0,Austin,TX
836507.0,Jacksonville,FL
834852.0,Indianapolis,IA
825863.0,San Francisco,CA
809798.0,Columbus,OH
777992.0,Fort Worth,TX
775202.0,Charlotte,NC
701475.0,Detroit,MI
672538.0,El Paso,TX
655155.0,Memphis,TN
636479.0,Boston,MA
634535.0,Seattle,WA
634265.0,Denver,CO
632323.0,Washington,DC
624496.0,Nashville,TN
621342.0,Baltimore,MD
605110.0,Louisville,KY
603106.0,Portland,OR
599199.0,Oklahoma City,OK
598916.0,Milwaukee,WI
596424.0,Las Vegas,NV
555417.0,Albuquerque,NM
524295.0,Tucson,AZ
505882.0,Fresno,CA
475516.0,Sacramento,CA
467892.0,Long Beach,CA
464310.0,Kansas City,MI
452084.0,Mesa,AZ
447021.0,Virginia Beach,VA
443775.0,Atlanta,GA
431834.0,Colorado Springs,CO
423179.0,Raleigh,NC
421570.0,Omaha,NE
413892.0,Miami,FL
400740.0,Oakland,CA
393987.0,Tulsa,OK
392880.0,Minneapolis,MN
390928.0,Cleveland,OH
385577.0,Wichita,KS
375600.0,Arlington,TX
